"ID_pola_ciasto","ID_ciasta","ID_surowca","Ilosc_surowca","Nazwa_Ciasta","Nr_receptury","Data_zatwierdzenia","Wersja","ID_typskladnika"
38074,184,8,15.70,"Ciasto kruche do tart- SPODY","284",27.2.2023 00:00:00,36,1
38075,184,43,8.50,"Ciasto kruche do tart- SPODY","284",27.2.2023 00:00:00,36,1
38076,184,242,25.00,"Ciasto kruche do tart- SPODY","284",27.2.2023 00:00:00,36,1
38077,184,31,0.50,"Ciasto kruche do tart- SPODY","284",27.2.2023 00:00:00,36,1
38078,184,22,63.00,"Ciasto kruche do tart- SPODY","284",27.2.2023 00:00:00,36,1
38606,203,8,37.00,"Biszkopt żółty","298",9.9.2021 00:00:00,13,1
38607,203,19,19.00,"Biszkopt żółty","298",9.9.2021 00:00:00,13,1
38608,203,43,19.00,"Biszkopt żółty","298",9.9.2021 00:00:00,13,1
38609,203,12,2.00,"Biszkopt żółty","298",9.9.2021 00:00:00,13,1
38610,203,38,4.70,"Biszkopt żółty","298",9.9.2021 00:00:00,13,1
38611,203,24,2.70,"Biszkopt żółty","298",9.9.2021 00:00:00,13,1
38612,203,31,2.70,"Biszkopt żółty","298",9.9.2021 00:00:00,13,1
38613,203,29,2.00,"Biszkopt żółty","298",9.9.2021 00:00:00,13,1
38614,203,11,1.60,"Biszkopt żółty","298",9.9.2021 00:00:00,13,1
38615,203,242,1.40,"Biszkopt żółty","298",9.9.2021 00:00:00,13,1
38616,203,34,0.25,"Biszkopt żółty","298",9.9.2021 00:00:00,13,1
38617,203,36,0.90,"Biszkopt żółty","298",9.9.2021 00:00:00,13,1
38618,203,128,2.70,"Biszkopt żółty","298",9.9.2021 00:00:00,13,1
38619,203,23,48.00,"Biszkopt żółty","298",9.9.2021 00:00:00,13,1
38620,203,8,37.00,"Biszkopt żółty","298",9.9.2021 00:00:00,14,1
38621,203,19,19.00,"Biszkopt żółty","298",9.9.2021 00:00:00,14,1
38622,203,43,19.00,"Biszkopt żółty","298",9.9.2021 00:00:00,14,1
38623,203,12,2.00,"Biszkopt żółty","298",9.9.2021 00:00:00,14,1
38624,203,38,4.70,"Biszkopt żółty","298",9.9.2021 00:00:00,14,1
38625,203,24,2.70,"Biszkopt żółty","298",9.9.2021 00:00:00,14,1
38626,203,31,2.70,"Biszkopt żółty","298",9.9.2021 00:00:00,14,1
38627,203,29,2.00,"Biszkopt żółty","298",9.9.2021 00:00:00,14,1
38628,203,11,1.60,"Biszkopt żółty","298",9.9.2021 00:00:00,14,1
38629,203,242,1.40,"Biszkopt żółty","298",9.9.2021 00:00:00,14,1
38630,203,34,0.25,"Biszkopt żółty","298",9.9.2021 00:00:00,14,1
38631,203,36,0.90,"Biszkopt żółty","298",9.9.2021 00:00:00,14,1
38632,203,128,2.70,"Biszkopt żółty","298",9.9.2021 00:00:00,14,1
38633,203,23,48.00,"Biszkopt żółty","298",9.9.2021 00:00:00,14,1
38634,203,8,37.00,"Biszkopt żółty","298",9.9.2021 00:00:00,15,1
38635,203,19,19.00,"Biszkopt żółty","298",9.9.2021 00:00:00,15,1
38636,203,43,19.00,"Biszkopt żółty","298",9.9.2021 00:00:00,15,1
38637,203,12,2.00,"Biszkopt żółty","298",9.9.2021 00:00:00,15,1
38638,203,38,4.70,"Biszkopt żółty","298",9.9.2021 00:00:00,15,1
38639,203,24,2.70,"Biszkopt żółty","298",9.9.2021 00:00:00,15,1
38640,203,31,2.70,"Biszkopt żółty","298",9.9.2021 00:00:00,15,1
38641,203,29,2.00,"Biszkopt żółty","298",9.9.2021 00:00:00,15,1
38642,203,11,1.60,"Biszkopt żółty","298",9.9.2021 00:00:00,15,1
38643,203,242,1.40,"Biszkopt żółty","298",9.9.2021 00:00:00,15,1
38644,203,34,0.25,"Biszkopt żółty","298",9.9.2021 00:00:00,15,1
38645,203,36,0.90,"Biszkopt żółty","298",9.9.2021 00:00:00,15,1
38646,203,128,2.70,"Biszkopt żółty","298",9.9.2021 00:00:00,15,1
38647,203,23,48.00,"Biszkopt żółty","298",9.9.2021 00:00:00,15,1
38648,203,8,37.00,"Biszkopt żółty","298",9.9.2021 00:00:00,16,1
38649,203,19,19.00,"Biszkopt żółty","298",9.9.2021 00:00:00,16,1
38650,203,43,19.00,"Biszkopt żółty","298",9.9.2021 00:00:00,16,1
38651,203,12,2.00,"Biszkopt żółty","298",9.9.2021 00:00:00,16,1
38652,203,38,4.70,"Biszkopt żółty","298",9.9.2021 00:00:00,16,1
38653,203,24,2.70,"Biszkopt żółty","298",9.9.2021 00:00:00,16,1
38654,203,31,2.70,"Biszkopt żółty","298",9.9.2021 00:00:00,16,1
38655,203,29,2.00,"Biszkopt żółty","298",9.9.2021 00:00:00,16,1
38656,203,11,1.60,"Biszkopt żółty","298",9.9.2021 00:00:00,16,1
38657,203,242,1.40,"Biszkopt żółty","298",9.9.2021 00:00:00,16,1
38658,203,34,0.25,"Biszkopt żółty","298",9.9.2021 00:00:00,16,1
38659,203,36,0.90,"Biszkopt żółty","298",9.9.2021 00:00:00,16,1
38660,203,128,2.70,"Biszkopt żółty","298",9.9.2021 00:00:00,16,1
38661,203,23,48.00,"Biszkopt żółty","298",9.9.2021 00:00:00,16,1
38928,210,8,25.00,"Biszkopt czekoladowy","306",4.10.2022 00:00:00,22,1
38929,210,153,21.00,"Biszkopt czekoladowy","306",4.10.2022 00:00:00,22,1
38930,210,43,25.00,"Biszkopt czekoladowy","306",4.10.2022 00:00:00,22,1
38931,210,12,5.00,"Biszkopt czekoladowy","306",4.10.2022 00:00:00,22,1
38932,210,38,15.00,"Biszkopt czekoladowy","306",4.10.2022 00:00:00,22,1
38933,210,31,2.60,"Biszkopt czekoladowy","306",4.10.2022 00:00:00,22,1
38934,210,29,1.50,"Biszkopt czekoladowy","306",4.10.2022 00:00:00,22,1
38935,210,11,1.00,"Biszkopt czekoladowy","306",4.10.2022 00:00:00,22,1
38936,210,242,2.50,"Biszkopt czekoladowy","306",4.10.2022 00:00:00,22,1
38937,210,34,0.20,"Biszkopt czekoladowy","306",4.10.2022 00:00:00,22,1
38938,210,15,5.00,"Biszkopt czekoladowy","306",4.10.2022 00:00:00,22,1
38939,210,24,6.30,"Biszkopt czekoladowy","306",4.10.2022 00:00:00,22,1
38940,210,33,1.50,"Biszkopt czekoladowy","306",4.10.2022 00:00:00,22,1
38941,210,23,32.00,"Biszkopt czekoladowy","306",4.10.2022 00:00:00,22,1
38942,210,8,25.00,"Biszkopt czekoladowy","306",4.10.2022 00:00:00,23,1
38943,210,153,21.00,"Biszkopt czekoladowy","306",4.10.2022 00:00:00,23,1
38944,210,43,25.00,"Biszkopt czekoladowy","306",4.10.2022 00:00:00,23,1
38945,210,12,5.00,"Biszkopt czekoladowy","306",4.10.2022 00:00:00,23,1
38946,210,38,15.00,"Biszkopt czekoladowy","306",4.10.2022 00:00:00,23,1
38947,210,31,2.60,"Biszkopt czekoladowy","306",4.10.2022 00:00:00,23,1
38948,210,29,1.50,"Biszkopt czekoladowy","306",4.10.2022 00:00:00,23,1
38949,210,11,1.00,"Biszkopt czekoladowy","306",4.10.2022 00:00:00,23,1
38950,210,242,2.50,"Biszkopt czekoladowy","306",4.10.2022 00:00:00,23,1
38951,210,34,0.20,"Biszkopt czekoladowy","306",4.10.2022 00:00:00,23,1
38952,210,15,5.00,"Biszkopt czekoladowy","306",4.10.2022 00:00:00,23,1
38953,210,24,6.30,"Biszkopt czekoladowy","306",4.10.2022 00:00:00,23,1
