"ID_pola","ID_kremu","ID_surowca","Ilosc","Nazwa_kremu","Nr receptury","Data zatwierdzenia","wersja","ID_typskladnika"
15079,47,2,50.00,"Krem czekoladowy","125",14.11.2008 00:00:00,1,1
15080,47,49,33.00,"Krem czekoladowy","125",14.11.2008 00:00:00,1,1
15081,47,67,11.00,"Krem czekoladowy","125",14.11.2008 00:00:00,1,1
15082,47,15,6.00,"Krem czekoladowy","125",14.11.2008 00:00:00,1,1
15083,47,43,6.50,"Krem czekoladowy","125",14.11.2008 00:00:00,1,1
15084,47,36,0.35,"Krem czekoladowy","125",14.11.2008 00:00:00,1,1
15085,47,139,0.12,"Krem czekoladowy","125",14.11.2008 00:00:00,1,1
15086,47,12,3.30,"Krem czekoladowy","125",14.11.2008 00:00:00,1,1
15087,47,11,0.50,"Krem czekoladowy","125",14.11.2008 00:00:00,1,1
15088,47,243,50.00,"Krem czekoladowy","125",14.11.2008 00:00:00,2,1
15089,47,49,33.00,"Krem czekoladowy","125",14.11.2008 00:00:00,2,1
15090,47,67,11.00,"Krem czekoladowy","125",14.11.2008 00:00:00,2,1
15091,47,15,6.00,"Krem czekoladowy","125",14.11.2008 00:00:00,2,1
15092,47,43,6.50,"Krem czekoladowy","125",14.11.2008 00:00:00,2,1
15093,47,36,0.35,"Krem czekoladowy","125",14.11.2008 00:00:00,2,1
15094,47,139,0.12,"Krem czekoladowy","125",14.11.2008 00:00:00,2,1
15095,47,12,3.30,"Krem czekoladowy","125",14.11.2008 00:00:00,2,1
15096,47,11,0.50,"Krem czekoladowy","125",14.11.2008 00:00:00,2,1
15097,47,243,50.00,"Krem czekoladowy","125",14.11.2008 00:00:00,3,1
15098,47,49,33.00,"Krem czekoladowy","125",14.11.2008 00:00:00,3,1
15099,47,67,11.00,"Krem czekoladowy","125",14.11.2008 00:00:00,3,1
15100,47,15,6.00,"Krem czekoladowy","125",14.11.2008 00:00:00,3,1
15101,47,43,6.50,"Krem czekoladowy","125",14.11.2008 00:00:00,3,1
15102,47,36,0.35,"Krem czekoladowy","125",14.11.2008 00:00:00,3,1
15103,47,139,0.12,"Krem czekoladowy","125",14.11.2008 00:00:00,3,1
15104,47,12,3.30,"Krem czekoladowy","125",14.11.2008 00:00:00,3,1
15105,47,11,0.50,"Krem czekoladowy","125",14.11.2008 00:00:00,3,1
15106,47,243,50.00,"Krem czekoladowy","125",14.11.2008 00:00:00,4,1
15107,47,49,33.00,"Krem czekoladowy","125",14.11.2008 00:00:00,4,1
15108,47,67,11.00,"Krem czekoladowy","125",14.11.2008 00:00:00,4,1
15109,47,15,6.00,"Krem czekoladowy","125",14.11.2008 00:00:00,4,1
15110,47,43,6.50,"Krem czekoladowy","125",14.11.2008 00:00:00,4,1
15111,47,36,0.35,"Krem czekoladowy","125",14.11.2008 00:00:00,4,1
15112,47,139,0.12,"Krem czekoladowy","125",14.11.2008 00:00:00,4,1
15113,47,12,3.30,"Krem czekoladowy","125",14.11.2008 00:00:00,4,1
15114,47,11,0.50,"Krem czekoladowy","125",14.11.2008 00:00:00,4,1
15115,47,243,50.00,"Krem czekoladowy UTZ- Torcik","125",17.1.2018 00:00:00,5,1
15116,47,49,33.00,"Krem czekoladowy UTZ- Torcik","125",17.1.2018 00:00:00,5,1
15117,47,67,11.00,"Krem czekoladowy UTZ- Torcik","125",17.1.2018 00:00:00,5,1
15118,47,530,6.00,"Krem czekoladowy UTZ- Torcik","125",17.1.2018 00:00:00,5,1
15119,47,43,6.50,"Krem czekoladowy UTZ- Torcik","125",17.1.2018 00:00:00,5,1
15120,47,36,0.35,"Krem czekoladowy UTZ- Torcik","125",17.1.2018 00:00:00,5,1
15121,47,139,0.12,"Krem czekoladowy UTZ- Torcik","125",17.1.2018 00:00:00,5,1
15122,47,12,3.30,"Krem czekoladowy UTZ- Torcik","125",17.1.2018 00:00:00,5,1
15123,47,11,0.50,"Krem czekoladowy UTZ- Torcik","125",17.1.2018 00:00:00,5,1
15124,47,243,50.00,"Krem czekoladowy UTZ- Torcik","125",17.1.2018 00:00:00,6,1
15125,47,12,3.30,"Krem czekoladowy UTZ- Torcik","125",17.1.2018 00:00:00,6,1
