"ID_surowca","Index","Surowiec_wycofany"
318,"34P01241",0
415,"34D01760",0
696,"34D01881",1
700,"34D01880",1
407,"34D01641",1
421,"34D01762",1
698,"34D01883",1
558,"34D02730",1
386,"34D01640",1
405,"34D01761",1
697,"34D01882",1
773,"34D01647",1
707,"34D01889",1
566,"34D02736",1
764,"34D01646",1
441,"34D01767",1
712,"34D01888",1
557,"34D02735",1
665,"34D02738",1
774,"34D01648",1
504,"34D01643",1
422,"34D01764",1
709,"34D01885",0
560,"34D02732",1
423,"34D01763",1
681,"34D01884",1
92,"34D02610",0
824,"34D02731",1
780,"34D01645",1
419,"34D01766",1
711,"34D01887",0
825,"34D02734",1
556,"34D02734",1
745,"34D01644",1
420,"34D01765",1
710,"34D01886",1
554,"34D02733",1
810,"34P01239",0
666,"34D02739",1
255,"34P02201",0
24,"34P02200",0
677,"34D01872",1
397,"34D01750",1
754,"34D01871",1
672,"34D01871",1
364,"34D01757",1
699,"34D01878",1
312,"34D01756",0
693,"34D01877",1
416,"34D01759",1
701,"34D01879",1
688,"34D01874",1
119,"34D02600",1
512,"34D02721",1
689,"34D01873",1
431,"34D02720",1
309,"34D01755",0
687,"34D01876",1
516,"34D01754",1
690,"34D01875",1
804,"34P00399",1
547,"34D02729",1
546,"34D02728",1
772,"34P01244",0
254,"34P01001",0
770,"34P01243",0
33,"34P01000",0
303,"34P01242",0
647,"34D01861",1
343,"34D01746",1
658,"34D01867",0
795,"34D02714",0
667,"34D02956",1
654,"34D01866",1
418,"34D02713",1
889,"34D02713",0
615,"34D02955",1
676,"34D01869",1
477,"34D01869",1
793,"34D02716",0
798,"34D02716",1
694,"34D02958",1
671,"34D01868",1
796,"34D02715",0
668,"34D02957",1
272,"34D01742",1
645,"34D01863",1
432,"34D02710",1
576,"34D02952",1
845,"34D02952",0
644,"34D01862",1
537,"34D02951",1
340,"34D01744",1
649,"34D01865",1
374,"34D02712",1
567,"34D02954",1
643,"34D01864",1
394,"34D02711",1
575,"34D02953",1
808,"34P00129",0
346,"34P00124",0
881,"34D02717",0
837,"34D02959",1
324,"34P00123",0
116,"34P02300",0
310,"34P00121",0
38,"34P01230",0
636,"34D01856",1
473,"34D02945",1
367,"34D02945",1
635,"34D01855",1
655,"34D01858",1
628,"34D01736",1
648,"34D01857",1
44,"34D02704",0
426,"34D02946",1
608,"34D01731",1
632,"34D01852",1
235,"34D02941",1
631,"34D01851",1
258,"34D02940",1
607,"34D01733",0
634,"34D01854",1
260,"34D02943",1
462,"34D02943",1
633,"34D01853",1
93,"34D02700",1
261,"34D02942",1
502,"34D01739",1
757,"34D02707",1
523,"34D02949",1
876,"34P00133",0
641,"34D01859",1
472,"34D02706",1
515,"34D02948",1
238,"34D02709",0
67,"34P01100",0
475,"34P01221",1
368,"34D02708",1
812,"34P00132",0
618,"34D11004",1
617,"34D11003",1
53,"34D01320",0
299,"34D01321",0
439,"34D01323",1
440,"34D01324",0
390,"34P02403",1
391,"34P02403",1
806,"34P00223",0
293,"34P02402",1
23,"34P00100",0
686,"34P00221",0
376,"34P01431",0
171,"34P01430",1
860,"34D01671",0
859,"34D01674",0
865,"34D01673",0
87,"34D02520",0
842,"34D01670",1
445,"34D01790",1
879,"34D01679",0
290,"34D01319",0
871,"34D01676",0
867,"34D01675",0
88,"34D02522",0
868,"34D01678",0
864,"34D01677",0
22,"34P00110",0
733,"34D02750",1
827,"34D01660",1
257,"34D01781",1
403,"34D01784",1
832,"34D01662",1
846,"34D01669",0
847,"34D01668",0
444,"34D01789",1
345,"34P01419",0
844,"34D01665",0
446,"34D01786",1
843,"34D01664",0
424,"34D01785",1
850,"34D01667",0
443,"34D01788",1
761,"34P00326",0
766,"34D01304",0
848,"34D01666",1
873,"34P00327",0
763,"34P00203",0
768,"34P00204",0
8,"34P00201",0
802,"34P01412",0
801,"34P01411",0
145,"34D10011",1
49,"34P00200",0
128,"34A01010",0
714,"34D01891",1
816,"34D01652",1
434,"34D01773",1
720,"34D01894",1
670,"34D02741",1
822,"34D01651",1
433,"34D01772",1
719,"34D01893",1
669,"34D02740",1
706,"34D01890",1
831,"34D01658",1
820,"34D01657",1
461,"34D01778",1
747,"34D02749",1
830,"34D01659",1
740,"34D02748",1
436,"34D01775",1
691,"34D02743",1
168,"34P00218",0
777,"34P01429",0
815,"34D01653",1
435,"34D01774",1
674,"34D02742",1
819,"34D01656",1
428,"34D01777",1
675,"34D02745",1
708,"34P01427",1
818,"34D01655",1
430,"34D01776",1
791,"34D02502",1
692,"34D02744",1
657,"34P01426",1
535,"34P00215",1
265,"34P01423",1
311,"34P00213",1
219,"34P01422",1
595,"34P01422",1
36,"34P01300",0
150,"34P01421",1
65,"34P01420",1
331,"34A03001",0
851,"34A03008",0
660,"34A03007",1
623,"34A03006",1
552,"34A03005",1
322,"34A03004",0
395,"34A03003",0
525,"34D01808",1
252,"34D01804",1
276,"34D01807",1
782,"34D01912",0
242,"34P00315",0
858,"34D01919",0
814,"34D01915",0
34,"34I00200",0
406,"34P00406",0
230,"34P00403",0
659,"34D01907",0
153,"34P00402",0
19,"34P00400",0
338,"34D01904",1
179,"34D01903",0
371,"34D01905",0
517,"34D03073",1
460,"34D03070",0
650,"34P01507",0
570,"34P01506",1
571,"34P01505",1
176,"34P01504",1
193,"34P01501",0
76,"34P01501",1
156,"34D05080",0
638,"34D01960",0
853,"34D01960",1
580,"34D01845",1
355,"34D02813",1
738,"34D01723",1
579,"34D01844",1
622,"34D01726",1
587,"34D01847",1
233,"34D02936",1
337,"34D01604",0
732,"34D02935",1
577,"34D01841",1
321,"34D01601",0
735,"34D01722",1
581,"34D01843",1
737,"34D01721",1
582,"34D01842",1
30,"34D02810",1
807,"34D01607",0
609,"34D01728",1
590,"34D01849",0
749,"34D02938",1
875,"34D01609",0
629,"34D01729",1
725,"34D02939",1
861,"34d01672",0
387,"34D02802",1
870,"34D02923",0
325,"34D01833",1
470,"34D02801",1
863,"34D02922",0
872,"34D02925",0
491,"34D01835",1
866,"34D02924",0
333,"34D01830",1
759,"34D01711",1
890,"34D01711",0
326,"34D01832",1
826,"34D02921",0
12,"34P01600",0
540,"34D01838",1
874,"34D02927",0
869,"34D02926",0
716,"34D01718",1
548,"34D01839",1
71,"34I00401",0
605,"34D01823",1
269,"34D01701",1
603,"34D01822",1
568,"34D01704",1
569,"34D01703",1
604,"34D01824",1
259,"34D02913",1
602,"34D01821",1
273,"34D01820",1
742,"34D01709",1
739,"34D01709",1
678,"34D01709",1
829,"34D02919",1
278,"34P01930",0
578,"34D01706",1
652,"34D01827",1
656,"34D01826",1
619,"34D01708",1
597,"34D01829",0
781,"34D02918",1
620,"34D01707",1
596,"34D01828",0
767,"34D02917",1
143,"34I00510",0
550,"34D01812",1
551,"34D01811",1
559,"-34D02731",1
91,"34D02900",1
188,"34D02900",1
222,"34D02900",1
553,"34D01814",1
549,"34D01813",1
308,"34D01810",1
601,"34D01819",1
307,"34D01815",0
562,"34D01818",1
563,"34D01817",1
760,"34D03021",0
799,"34P01912",0
29,"34P00700",0
139,"34A00700",0
626,"34P00714",0
136,"34D03019",0
399,"34P00712",0
880,"34A00702",0
268,"34D03001",1
513,"34D03000",1
385,"34D03000",0
25,"34P00800",0
451,"34001771",1
800,"34D03113",0
805,"34D03114",0
118,"34D03111",1
11,"34P01900",0
705,"34A00804",0
301,"34D03062",0
384,"34D03069",0
31,"34P00900",0
803,"34D03053",0
110,"34D05110",0
28,"34D00900",0
856,"34D00908",0
379,"34D00903",1
43,"34000000",0
173,"34D03030",0
695,"34D02452",1
454,"34D02690",1
117,"34D02451",0
771,"34A01502",0
328,"34A01500",0
789,"34D01597",1
96,"34D02440",1
294,"34D02431",1
21,"34D01100",0
344,"34D01101",1
427,"34D02433",1
378,"34D01102",1
304,"34D02432",1
237,"34D03400",0
797,"34D02439",0
646,"34D02438",1
377,"34D01103",0
417,"34D02435",1
425,"34D02434",1
857,"34D01105",0
600,"34D02437",0
94,"34D02422",0
584,"34D02429",0
849,"34D01698",0
637,"34D02423",1
828,"34D01699",0
456,"34D00190",0
86,"34D03100",1
7,"34A00330",0
48,"34D02002",0
126,"34A00340",0
530,"34D02004",0
15,"34D02000",0
531,"34D02005",0
741,"34A00349",0
209,"34D02475",0
208,"34D02474",0
210,"34D02477",1
211,"34D02476",1
207,"34D02473",0
192,"34D02472",1
862,"34P02103",0
78,"34P02100",0
62,"34D02100",0
753,"34D02463",0
226,"34D02466",0
133,"34D04400",0
159,"34D02460",1
778,"34D02104",0
838,"34D02469",0
639,"34P00299",0
