ID_wyrobu;Opis_wyrobu;Kod FG;Flaga;Klient;Nazwa_wyrobu;Data_wprowadzenia;Indeks CMJ;Waga jednostki netto;ID_rodzaj_wyrobu;Ilosc_w_pudle
228;6 Assorted Jam Tarts;FG120129;FA£SZ;Sainsbury's;6 Assorted Jam Tarts (RSPO-SG)- Sainsbury's;03.01.2011;22T00205;159;1;12
240;Torcik kakaowy Perfetto 18*38g;---;FA£SZ;ALDI - Polska;"Torcik kakaowy - Perfetto (RSPO-MB;RA-MB)";05.01.2011;22C04732;38;2;40
297;6 Essential Jam Tarts;FG120156;FA£SZ;WAITROSE;Essential 6 Jam Tarts (RSPO-SG)- Waitrose;22.06.2012;22T00250;180;1;12
310;Raspberry & Cream (Swiss Rolls) ROYAL;ROYD02;FA£SZ;ROYAL Dania;Raspberry & Cream (Swiss Rolls)(RSPO-SG) ROYAL  Dania;30.08.2012;22R01205;300;3;6
309;Cocoa & Cream (Swiss Rolls) ROYAL;ROYD04;FA£SZ;ROYAL Dania;Cocoa & Cream (Swiss Rolls)(RSPO-SG) ROYAL Dania;30.08.2012;22R01207;300;3;6
340;Cabico- Chocolate flavoured Swiss Roll with Vanilla Cream Filling;CAB026;FA£SZ;CABICO;Chocolate flavoured Swiss Roll with Vanilla Cream Filling (RSPO-SG) -Cabico;26.02.2013;22R01214;300;3;6
780;Cabico- Chocolate flavoured Swiss Roll with Vanilla Cream Filling;CAB026;FA£SZ;CABICO;RoladaCabicoCocoa&Cream(6*300g)1,79GBP;26.02.2013;22R01224;300;3;6
337;Cabico- Strawberry flavoured Swiss Roll with Cream Filling;CAB027;FA£SZ;CABICO;Strawberry flavoured Swiss Roll with Cream Filling (RSPO-SG)-Cabico;26.02.2013;22R01212;300;3;6
778;Cabico- Strawberry flavoured Swiss Roll with Cream Filling;CAB027;FA£SZ;CABICO;RoladaCabicoStraw&Cream(6*300g)1,79GBP;26.02.2013;22R01222;300;3;6
338;Cabico- Lemon flavoured Swiss Roll with Cream Filling;CAB028;FA£SZ;CABICO;Lemon flavoured Swiss Roll with Cream Filling (RSPO-SG)-Cabico;26.02.2013;22R01213;300;3;6
779;Cabico- Lemon flavoured Swiss Roll with Cream Filling;CAB028;FA£SZ;CABICO;RoladaCabicoLemon&Cream(6*300g)1,79GBP;26.02.2013;22R01223;300;3;6
339;Cabico- Raspberry flavoured Swiss Roll with Cream Filling;CAB029;FA£SZ;CABICO;Raspberry flavoured Swiss Roll with Cream Filling (RSPO-SG)-Cabico;26.02.2013;22R01211;300;3;6
777;Cabico- Raspberry flavoured Swiss Roll with Cream Filling;CAB029;FA£SZ;CABICO;RoladaCabicoRasp&Cream(6*300g)1,79GBP;26.02.2013;22R01221;300;3;6
944;Cabico- Raspberry flavoured Swiss Roll with Cream Filling;CAB06AJ;FA£SZ;CABICO;Assorted6JamTartsCabico(*12)1.49GBP;26.02.2013;22T00422;300;3;6
432;Morrisons 6 Strawberry Jam Tarts;FG120192;FA£SZ;MORRISONS;6 Strawberry Jam Tarts (RSPO-SG) - Morrisons;17.04.2014;22T00220;184.2;1;12
430;Morrisons 6 Lemon Curd Tarts;FG120191;FA£SZ;MORRISONS;6 Lemon Curd Tarts (RSPO-SG) -Morrisons;18.04.2014;22T00221;184.2;1;12
431;Morrisons 6 Assorted Jam Tarts;FG120193;FA£SZ;MORRISONS;6 Assorted Jam Tarts Selection (RSPO-SG) - Morrisons;18.04.2014;22T00222;184.2;1;12
1152;8 Chocolate Nom Noms -  Freemans;FG220101;FA£SZ;HOPPERS;8 Chocolate Nom Noms (RSPO-SG)-Freemans;20.09.2014;22C08085;135.2;2;12
548;9 Assorted Jam Tarts;FG120210;FA£SZ;Hoppers;Hoppers 9 Assorted Jam Tarts - Freemans (RSPO-SG);16.12.2014;22T00252;270;1;16
817;9 Lemon Curd Tarts (RSPO MB) - Hoppers;FG120226;FA£SZ;Hoppers;9 Lemon Curd Tarts (RSPO SG) - Hoppers;22.11.2017;22T00420;270;1;16
818;SIWC 5 Mini Caterpillar (RSPO SG) -Sainsbury;FG090558;FA£SZ;Sainsbury's;5 Mini Wiggles Caterpillar (RSPO-SG) -Sainsbury's;05.02.2018;22C08107;150;2;12
706;6 Assorted Jam Tarts -Cabico ( RSPO-SG);CAB030;FA£SZ;CABICO;ROYAL 6 Assorted Jam Tarts -Cabico (RSPO-SG);26.02.2018;22T00421;180;1;12
925;Ms Molly's Raspberry Swiss Roll -TESCO (RSPO-MB);FG040215;FA£SZ;TESCO;Ms Molly's Raspberry Swiss Roll -TESCO (RSPO-SG);30.08.2018;22R00020;195;3;12
924;Ms Molly's Jumbo Strawberry & Vanilla Swiss Roll -TESCO (RSPO-MB);FG040216;FA£SZ;TESCO;Ms Molly's Jumbo Strawberry & Vanilla Swiss Roll -TESCO (RSPO-SG);30.08.2018;22R00019;390;3;12
923;Ms Molly's Jumbo Chocolate & Vanilla Swiss Roll - TESCO(RSPO-MB);FG040217;FA£SZ;TESCO;"Ms Molly's Jumbo Chocolate & Vanilla Swiss Roll-TESCO(RSPO-SG;RA-MB)";30.08.2018;22R00018;390;3;12
933;Tesco 6 Assorted Jam Tarts;FG120052;FA£SZ;TESCO;6 Assorted Jam Tarts (RSPO-SG)- TESCO;18.09.2018;22T00201;180;1;12
934;Tesco 6 Lemon Curd Tarts;FG120093;FA£SZ;TESCO;6 Lemon Curd Tarts (RSPO-SG) - TESCO;18.09.2018;22T00411;180;1;12
965;Raspberry mini rolls with pink deco stripes DK001(RSPO-SG);DK001;FA£SZ;Hoppe;6 Raspberry mini rolls with pink deco stripes DK001(RSPO-SG);11.12.2018;22C20049;150;2;12
979;Chocolate Jumbo Swiss Roll (RSPOSG)- Morrisons;FG040232;FA£SZ;MORRISONS;Chocolate Jumbo Swiss Roll (RSPO-SG)- Morrisons;24.05.2019;22R00113;390;3;12
978;Strawberry Jumbo Swiss Roll (RSPO-MB)- Morrisons;FG040233;FA£SZ;MORRISONS;Strawberry Jumbo Swiss Roll (RSPO-SG)- Morrisons;24.05.2019;22R00112;390;3;12
1008;Mandemakers 5 Strawberry MR white deco (RSPO-SG) - HOPPE;MA001;FA£SZ;Hoppe;Mandemakers 5 Strawberry MR white deco MA001 (RSPO-SG);17.06.2019;22C20033;125;2;12
1022;Royal Raspberry &Vanilla Cream Swiss Roll 200g;RS01;FA£SZ;ROYAL Szwecja;Royal Raspberry &Vanilla Cream Swiss Roll 200g-(RSPO-SG) ROYAL Szwecja;19.07.2019;22R01228;200;3;9
1021;Royal Strawberry &Vanilla Cream Swiss Roll 200g;RS02;FA£SZ;ROYAL Szwecja;Royal Strawberry &Vanilla Cream Swiss Roll 200g(RSPO-SG) ROYAL Szwecja;19.07.2019;22R01227;200;3;9
1024;Royal Double Chocolate  Swiss Roll 200g- (RSPO-SG)- Royal Szwecja;RS03;FA£SZ;ROYAL Szwecja;Royal Double Chocolate  Swiss Roll 200g- (RSPO-SG)- ROYAL Szwecja;19.07.2019;22R01225;200;3;9
1023;Royal Cocoa &Vanilla Cream Swiss Roll 200g - Royal Szwecja;RS04;FA£SZ;ROYAL Szwecja;Royal Cocoa &Vanilla Cream Swiss Roll- 200g( RSPO-SG) - ROYAL Szwecja;19.07.2019;22R01226;200;3;9
1040;"5 Raspberry Mini Rolls (RSPO-SG; RA-MB) - ALDI";FG030265;FA£SZ;ALDI;"5 Raspberry Mini Rolls (RSPO-SG;RA-MB) - ALDI";06.09.2019;22C08049;135;2;12
1077;Roladki Truskawkowe z kremem o smaku waniliowym z dekoracj¹ GK010;GK010;FA£SZ;Hoppe(Gulden Krakeling);6 Strawberry Mini Rolls with dark deco stripes GK010 (RSPO-SG);29.11.2019;22C20035;150;2;12
1078;Mini roladki z kremem o smaku jogurtowym i nadzieniem wiœniowym z bia³¹ dekoracj¹ GK011;GK011;FA£SZ;Hoppe(Gulden Krakeling);6 Yoghurt Mini Rolls with white deco stripes GK011 (RSPO-SG);29.11.2019;22C20036;150;6;12
1080;Roladka truskawkowa z kremem waniliowym, dekorowana polew¹ kakaow¹;VOS04;FA£SZ;Hoppe(Vos Banket);6 Strawberry mini rolls chocolate decostripes VOS04 (RSPO-SG).;29.11.2019;22C20034;150;2;12
1079;Roladki z kremem o smaku œmietankowym w czekoladzie z bia³¹ dekoracj¹;VOS05;FA£SZ;Hoppe(Vos Banket);6 Choco Cakerolletjes VOS05 (RSPO-MB);29.11.2019;22C20037;150;2;12
