"ID_wyrobu","Opis_wyrobu","Kod FG","Nazwa_wyrobu","Data_wprowadzenia","Indeks CMJ","Waga jednostki netto","ID_rodzaj_wyrobu","Ilosc_w_pudle"
1,"Tesco Jumbo Choc/Van Swiss Roll","FG040037","-Jumbo Chocolate & Vanilla Swiss Roll (RSPO-MB)",28.6.2008 00:00:00,"22R00010",390.00,3,12.00
2,"Tesco Jumbo Straw/Van Swiss Roll","FG040038","-Jumbo Strawberry & Vanilla Swiss Roll (RSPO-MB)",26.6.2009 00:00:00,"22R00011",390.00,3,12.00
3,"Tesco Standard Double Chocolate Swiss Roll","FG040123","-Chocolate Swiss Roll (Standard Double)",28.6.2008 00:00:00,"22R00012",195.00,3,24.00
9,"Tesco 6 Value Apple pie","FG180019","-6 Everyday Value Apple Pies (RSPO-MB)",24.8.2008 00:00:00,"22T10111",282.00,1,12.00
11,"Tesco 6 Chocolate Mini Roll","FG030029","-6 Chocolate Mini Rolls (RSPO-MB)",9.6.2010 00:00:00,"22C08062",177.00,2,12.00
12,"Tesco 12 Chocolate Mini Rolls","FG030030","-12 Chocolate Mini Rolls (RSPO-MB)",9.6.2010 00:00:00,"22C08071",354.00,2,8.00
21,"Co-Op Choc Midi SwissRoll","FG040121","-The Co-operative Chocolate Swiss Roll",8.2.2010 00:00:00,"22R01000",280.00,3,12.00
22,"Co-op Raspberry & Vanila Midi Swiss","FG040120","-The Co-operative Raspberry & Vanilla Swiss Roll",8.2.2010 00:00:00,"22R01010",280.00,3,12.00
86,"Sainsbury's Basic Raspberry & Vanila 6 Mini rolls *30","FG030107","-6 Mini rolls with raspberry and vanilla flavoured filling",16.2.2010 00:00:00,"22C10010",126.00,6,30.00
88,"Tesco 6 Lemon Curd Tarts","FG120093","-6 Lemon Curd Tarts (RSPO-MB) - TESCO",30.6.2008 00:00:00,"22T00411",180.00,1,12.00
119,"Aldi 9 Mini Mince Pies","FG200108","-9 Mini Mince Pies",1.8.2011 00:00:00,"22T10104",180.00,1,24.00
120,"Morrisons 9 Mini Mince Pies","FG020106","-9 Mini Mince Pies",8.8.2008 00:00:00,"22T10103",180.00,1,12.00
140,"Mini roladki czekoladowe z kremem o smaku waniliowym w czekoladzie mlecznej.","HO059","-6 Choco Mini-Rolletjes HO059",18.11.2008 00:00:00,"22C20010",156.00,2,12.00
144,"Simple Value Chocolate Swiss roll","FG040139","-Simple Value Chocolate Swiss Roll",9.2.2009 00:00:00,"22R01015",88.00,3,18.00
161,"Rolada z marmoladą morelową (wys. 5,5-5,7cm, szerokość 6,7-7cm, dł. 27cm)","FG140786","-Rolada biszkoptowa z nadzieniem morelowym(RSPO-SG) KAT",7.1.2010 00:00:00,"22R00130",307.00,3,10.00
