"ID","ID_wyrobu","ID_licznik","ID_typskladnika","ID_skladnika","Naważka","Poziom"
1,1,1,2,198,195.00,1
2,1,2,1,506,228.00,2
3,1,3,3,64,162.00,2
4,2,1,2,224,195.00,1
5,2,2,1,506,228.00,2
6,2,3,3,64,102.00,3
7,2,4,1,94,60.00,4
8,3,1,2,198,195.00,1
9,3,2,1,506,114.00,2
10,3,3,3,62,81.00,3
11,5,1,3,64,24.00,
12,5,2,1,506,58.00,
13,5,3,2,100,0.00,
14,6,1,2,32,0.00,
15,7,1,5,551,60.00,1
16,7,2,5,552,60.00,1
17,7,3,5,553,60.00,1
18,8,1,1,44,15.00,
19,8,2,1,92,15.00,
20,8,3,1,117,15.00,
21,8,4,2,62,21.00,
22,9,1,2,31,21.00,1
23,9,2,2,30,11.00,1
24,9,3,1,30,19.00,1
25,9,4,1,506,47.00,2
26,10,1,1,85,15.00,
27,10,2,2,32,21.00,
28,11,1,2,61,18.50,1
29,11,2,1,506,10.50,2
30,11,3,3,63,9.50,3
31,11,4,1,65,9.50,4
32,12,1,2,61,18.50,1
33,12,2,1,506,10.50,2
34,12,3,3,63,9.50,3
35,12,4,1,65,9.50,4
36,14,1,1,44,15.00,
37,14,2,1,92,15.00,
38,14,3,1,117,15.00,0
39,14,4,2,62,18.00,0
40,15,1,1,44,15.00,0
41,15,2,1,92,15.00,0
42,15,3,1,117,15.00,0
43,15,4,2,62,21.00,0
44,16,1,1,118,15.00,0
45,16,2,2,62,18.00,0
46,17,1,1,86,17.00,0
47,17,2,2,34,18.00,0
48,18,1,1,93,17.00,0
49,18,2,1,96,17.00,0
50,18,3,1,119,17.00,0
51,18,4,2,34,18.00,0
52,21,1,2,125,195.00,1
53,21,2,1,506,165.00,2
54,21,3,3,62,115.00,3
55,22,1,2,131,195.00,1
56,22,2,1,506,165.00,2
57,22,3,1,87,42.00,3
58,22,4,3,64,73.00,3
59,24,1,3,6,0.00,0
60,24,2,2,13,0.00,0
61,25,1,2,13,0.00,0
62,26,1,3,41,0.00,0
63,26,2,2,61,0.00,0
64,27,1,2,20,0.00,0
65,28,1,2,16,0.00,0
66,29,1,2,62,21.00,0
67,30,1,2,133,11.80,0
68,31,1,2,132,11.80,0
69,32,1,2,119,0.00,1
70,33,1,2,117,0.00,1
71,34,1,2,116,0.00,1
72,36,1,1,176,4.00,0
73,36,2,2,109,6.00,0
74,36,3,3,47,36.00,0
75,36,4,1,65,40.00,0
76,36,5,1,506,51.00,0
77,37,1,1,176,2.00,0
78,37,2,3,47,8.00,0
79,37,3,1,65,12.00,0
80,37,4,1,506,16.00,0
81,37,5,2,109,24.10,0
82,40,1,2,133,0.00,0
83,41,1,2,129,0.00,0
84,42,1,2,128,12.80,0
85,43,1,2,48,0.00,0
86,44,1,2,129,12.80,0
87,45,1,1,176,1.00,0
